# Logfile created on 2026-09-02 14:06:57 -0400 by logger.rb/61378
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/noorizad/spicexplorer-workspace/external/pam4-wt/codesign-r4/report/work/g/dut_pam4.gds
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : Ruby Version for klayout: 2.5.9
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : Loading database to memory is complete.
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : IHP-SG13G2 Klayout DRC runset output at: /home/noorizad/spicexplorer-workspace/external/pam4-wt/codesign-r4/report/work/g/signoff/drc/dut_pam4_pam4drv_pam4_lay_main.lyrdb
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : Evaluate switches.
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : table_name selected  main
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : Klayout will use 128 thread(s)
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : deep mode is enabled for main table.
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : FEOL enabled: true
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : BEOL enabled: true
2026-09-02 14:06:57 -0400: Memory Usage (413328K) : OffGrid enabled: true
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416528K) : metal2_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : baspoly_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : baspoly_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : psd_drw has 20 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : nldb_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : digibnd_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (416792K) : via1_drw has 446 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417056K) : backmetal1_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417320K) : backmetal1_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417584K) : backpassiv_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417584K) : res_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417584K) : sram_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417584K) : trans_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417584K) : ind_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : ind_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : ind_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : salblock_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : via2_drw has 184 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : metal3_drw has 24 polygons
2026-09-02 14:06:57 -0400: Memory Usage (417848K) : metal3_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_text has 4 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418112K) : metal3_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : nwell_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : nwell_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : nbulay_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : nbulay_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : nbulay_block has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : emwind_drw has 36 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418376K) : emwind_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : deepco_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : deepco_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : mim_drw has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : edgeseal_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : edgeseal_bound has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418640K) : substrate_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : substrate_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : dfpad_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : dfpad_pillar has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : dfpad_sbump has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : thickgateox_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (418904K) : pldb_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : pwell_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : pwell_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : pwell_block has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : ic_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : via3_drw has 144 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419168K) : metal4_drw has 16 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_nofill has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419432K) : metal4_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : metal4_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : metal4_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : metal4_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : metal4_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : metal4_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419696K) : heattrans_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419960K) : heatres_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419960K) : pempoly_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419960K) : fbe_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419960K) : empoly_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (419960K) : ldmos_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : pbiwind_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : digisub_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : nodrc_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : text_drw has 72 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : via4_drw has 144 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420224K) : metal5_drw has 16 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420488K) : metal5_pin has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420488K) : metal5_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420488K) : metal5_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420488K) : metal5_nofill has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420488K) : metal5_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_text has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : metal5_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (420752K) : radhard_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421016K) : memcap_drw has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421016K) : varicap_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421016K) : flash_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421016K) : intbondvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421016K) : intbondmet_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : devbondvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : devbondmet_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : devtrench_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : redist_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : graphbot_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421280K) : graphtop_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421544K) : antvia1_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421544K) : antmetal2_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421544K) : graphcont_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421544K) : siwg_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421544K) : siwg_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : siwg_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : sigrating_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : singrating_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : graphpas_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : emwind3_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (421808K) : emwihv3_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422072K) : redbulay_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422072K) : smos_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422072K) : graphpad_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422072K) : polimide_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422072K) : polimide_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_esd has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_diode has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_tsv has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422336K) : recog_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_pillar has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_sbump has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_otp has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_pdiode has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_mom has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422600K) : recog_pcm has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : colopen_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmetal1_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmetal1_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmetal1_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmetal1_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmetal1_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (422864K) : graphmet1l_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : graphmet1l_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : graphmet1l_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : graphmet1l_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : graphmet1l_opc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : extblock_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423128K) : nldd_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423392K) : pldd_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423392K) : next_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423392K) : pext_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423392K) : nexthv_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423392K) : pexthv_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : graphgate_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : sinwg_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : sinwg_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : sinwg_nofill has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : mempad_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423656K) : topvia1_drw has 13 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_drw has 10 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_pin has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_nofill has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (423920K) : topmetal1_text has 1 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : topmetal1_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : topmetal1_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : topmetal1_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : topmetal1_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : inldpwl_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424184K) : polyres_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424448K) : polyres_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424448K) : vmim_drw has 12 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424448K) : nbulaycut_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424448K) : antmetal1_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424448K) : topvia2_drw has 6 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_drw has 2 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_pin has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_mask has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_filler has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_nofill has 3 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424712K) : topmetal2_slit has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : topmetal2_text has 2 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : topmetal2_noqrc has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : topmetal2_res has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : topmetal2_iprobe has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : topmetal2_diffprb has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (424976K) : snsring_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425240K) : sensor_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425240K) : snsarms_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425240K) : snscmosvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425240K) : colwind_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425240K) : flm_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : hafniumox_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : memvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : thinfilmres_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : rfmem_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : norcx_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : norcx_m2m3 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425504K) : norcx_m2m4 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m2m5 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m2tm1 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m2tm2 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m3m4 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m3m5 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m3tm1 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (425768K) : norcx_m3tm2 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m4m5 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m4tm1 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m4tm2 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m5tm1 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m5tm2 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_tm1tm2 has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m1sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426032K) : norcx_m2sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : norcx_m3sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : norcx_m4sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : norcx_m5sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : norcx_tm1sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : norcx_tm2sub has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426296K) : snsbotvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : snstopvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : deepvia_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : fgetch_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : ctrgat_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : fgimp_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426560K) : emwihv_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426824K) : lbe_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426824K) : alcustop_drw has 0 polygons
2026-09-02 14:06:57 -0400: Memory Usage (426824K) : nometfiller_drw has 0 polygons
